Ascending Sorted Transactions by Date - January 2024
----------------------------------------
2024-01-01 | Expense | Rent & Utilities | $689.20 | Monthly rent payment for apartment
2024-01-02 | Expense | Groceries | $108.33 | Snacks and beverages
2024-01-02 | Expense | Rent & Utilities | $1292.24 | Property maintenance fee
2024-01-02 | Income | Investments | $307.33 | Interest from savings account
2024-01-02 | Expense | Dining Out | $121.46 | Late night snacks at diner
2024-01-02 | Income | Salary | $2622.88 | Salary credited for January
2024-01-02 | Expense | Rent & Utilities | $1838.23 | TV cable subscription
2024-01-03 | Expense | Dining Out | $132.69 | Pizza night with family
2024-01-03 | Income | Salary | $1805.82 | Performance bonus payout
2024-01-03 | Expense | Entertainment | $351.57 | Dance class fee
2024-01-04 | Expense | Rent & Utilities | $733.03 | Sewage services charge
2024-01-04 | Expense | Entertainment | $165.00 | Theater play ticket
2024-01-04 | Expense | Dining Out | $136.55 | Business lunch with client
2024-01-04 | Expense | Transport | $143.62 | Parking fee at mall
2024-01-04 | Expense | Entertainment | $214.38 | Movie rental on streaming platform
2024-01-04 | Expense | Dining Out | $127.04 | Fast food lunch at McDonald's
2024-01-04 | Income | Salary | $2019.43 | Salary credited for January
2024-01-05 | Expense | Transport | $43.36 | Motorbike fuel refill
2024-01-05 | Expense | Rent & Utilities | $1979.42 | TV cable subscription
2024-01-05 | Expense | Groceries | $230.27 | Milk and bread from local store
2024-01-05 | Expense | Rent & Utilities | $1234.67 | Natural gas bill payment
2024-01-05 | Expense | Dining Out | $69.10 | Fast food lunch at McDonald's
2024-01-05 | Expense | Transport | $37.85 | Fuel refill at gas station
2024-01-05 | Expense | Entertainment | $287.26 | Video game download
2024-01-06 | Expense | Dining Out | $132.62 | Sushi dinner at Japanese restaurant
2024-01-06 | Expense | Rent & Utilities | $1027.07 | Monthly rent payment for apartment
2024-01-07 | Expense | Transport | $103.99 | Car maintenance and service
2024-01-07 | Expense | Rent & Utilities | $1222.44 | Mobile phone postpaid bill
2024-01-07 | Expense | Entertainment | $48.67 | Subscription to online magazine
2024-01-07 | Income | Business Profits | $330.49 | Profit from online store sales
2024-01-07 | Expense | Dining Out | $133.53 | Romantic dinner at steakhouse
2024-01-07 | Expense | Rent & Utilities | $1854.73 | Home insurance premium
2024-01-07 | Income | Salary | $1917.36 | Salary credited for January
2024-01-08 | Expense | Dining Out | $142.57 | Fast food lunch at McDonald's
2024-01-08 | Expense | Groceries | $175.10 | Meat and fish from butcher shop
2024-01-08 | Income | Salary | $5136.10 | Commission on sales received
2024-01-09 | Expense | Rent & Utilities | $810.00 | Trash collection service
2024-01-09 | Income | Gifts & Donations | $229.22 | Lucky draw cash prize
2024-01-09 | Expense | Dining Out | $63.56 | Dinner at Italian restaurant
2024-01-09 | Expense | Rent & Utilities | $1455.18 | Property maintenance fee
2024-01-10 | Income | Freelance | $737.60 | Consultancy charges for project
2024-01-10 | Expense | Dining Out | $41.21 | Ice cream from parlor
2024-01-10 | Expense | Transport | $26.85 | Uber ride to airport
2024-01-11 | Expense | Rent & Utilities | $748.77 | Home insurance premium
2024-01-11 | Income | Business Profits | $957.71 | Subscription service income
2024-01-11 | Expense | Entertainment | $76.73 | Theater play ticket
2024-01-11 | Income | Salary | $5866.80 | Overtime payment included
2024-01-11 | Income | Salary | $4722.86 | Performance bonus payout
2024-01-12 | Income | Investments | $1229.98 | Peer-to-peer lending interest
2024-01-12 | Expense | Dining Out | $66.89 | Romantic dinner at steakhouse
2024-01-12 | Expense | Entertainment | $309.01 | Amusement park entry fee
2024-01-13 | Expense | Dining Out | $84.08 | Business lunch with client
2024-01-13 | Expense | Dining Out | $25.30 | Brunch with friends at bistro
2024-01-13 | Expense | Dining Out | $73.70 | Street food snacks
2024-01-13 | Expense | Dining Out | $44.47 | Romantic dinner at steakhouse
2024-01-13 | Expense | Groceries | $100.34 | Spices and condiments
2024-01-14 | Expense | Rent & Utilities | $1676.03 | Monthly rent payment for apartment
2024-01-14 | Income | Investments | $1356.09 | Peer-to-peer lending interest
2024-01-14 | Expense | Dining Out | $85.38 | Breakfast at bakery
2024-01-15 | Expense | Entertainment | $426.44 | Board game purchase
2024-01-15 | Expense | Entertainment | $324.27 | Subscription to online magazine
2024-01-16 | Expense | Rent & Utilities | $992.00 | Electricity bill for January
2024-01-16 | Expense | Dining Out | $73.76 | Ice cream from parlor
2024-01-17 | Expense | Rent & Utilities | $480.90 | Landline phone bill
2024-01-17 | Income | Salary | $2453.09 | Commission on sales received
2024-01-17 | Income | Freelance | $425.14 | Social media marketing project fee
2024-01-18 | Expense | Dining Out | $21.03 | Sushi dinner at Japanese restaurant
2024-01-18 | Expense | Transport | $199.04 | Toll charges for highway
2024-01-18 | Expense | Entertainment | $39.32 | Board game purchase
2024-01-19 | Income | Salary | $1987.81 | Holiday bonus credited
2024-01-19 | Expense | Dining Out | $79.21 | Brunch with friends at bistro
2024-01-20 | Expense | Dining Out | $115.16 | Ice cream from parlor
2024-01-20 | Expense | Groceries | $280.15 | Household necessities from hypermarket
2024-01-20 | Expense | Transport | $330.19 | Oil change at auto center
2024-01-21 | Expense | Dining Out | $73.21 | Brunch with friends at bistro
2024-01-21 | Expense | Rent & Utilities | $1242.82 | Landline phone bill
2024-01-22 | Income | Investments | $1363.93 | Cryptocurrency profit withdrawal
2024-01-22 | Expense | Rent & Utilities | $1832.01 | Heating system maintenance
2024-01-23 | Expense | Rent & Utilities | $1614.22 | Electricity bill for January
2024-01-23 | Income | Investments | $952.78 | Interest from savings account
2024-01-23 | Expense | Rent & Utilities | $1732.85 | Heating system maintenance
2024-01-23 | Income | Business Profits | $878.08 | Dropshipping profits
2024-01-23 | Expense | Entertainment | $170.06 | Amusement park entry fee
2024-01-24 | Expense | Transport | $264.99 | Toll charges for highway
2024-01-24 | Expense | Dining Out | $131.04 | Food delivery from Uber Eats
2024-01-24 | Expense | Rent & Utilities | $1398.51 | Monthly rent payment for apartment
2024-01-24 | Expense | Transport | $383.89 | Bike rental fee
2024-01-24 | Expense | Dining Out | $65.92 | Brunch with friends at bistro
2024-01-24 | Expense | Entertainment | $308.34 | Dance class fee
2024-01-25 | Expense | Dining Out | $57.64 | Coffee at local cafe
2024-01-25 | Expense | Rent & Utilities | $489.64 | Mobile phone postpaid bill
2024-01-25 | Expense | Dining Out | $139.14 | Dinner at Italian restaurant
2024-01-25 | Expense | Transport | $166.18 | Toll charges for highway
2024-01-25 | Expense | Transport | $479.61 | Oil change at auto center
2024-01-25 | Expense | Rent & Utilities | $766.82 | Electricity bill for January
2024-01-26 | Expense | Rent & Utilities | $604.91 | Trash collection service
2024-01-26 | Income | Gifts & Donations | $1309.69 | Gift card redeemed
2024-01-26 | Expense | Rent & Utilities | $1090.48 | Home insurance premium
2024-01-27 | Expense | Rent & Utilities | $656.16 | Natural gas bill payment
2024-01-27 | Expense | Groceries | $235.91 | Snacks and beverages
2024-01-27 | Expense | Entertainment | $492.17 | Subscription to online magazine
2024-01-27 | Expense | Dining Out | $60.63 | Brunch with friends at bistro
2024-01-28 | Expense | Transport | $149.82 | Toll charges for highway
2024-01-28 | Income | Investments | $260.37 | ETF dividend credited
2024-01-28 | Expense | Rent & Utilities | $773.41 | Home insurance premium
2024-01-28 | Expense | Transport | $460.45 | Parking fee at mall
2024-01-29 | Expense | Entertainment | $153.22 | Board game purchase
2024-01-30 | Expense | Entertainment | $212.11 | Board game purchase
2024-01-30 | Expense | Transport | $237.27 | Tire replacement
2024-01-31 | Expense | Rent & Utilities | $919.18 | Electricity bill for January
2024-01-31 | Expense | Entertainment | $167.25 | Movie rental on streaming platform
2024-01-31 | Expense | Dining Out | $117.18 | Street food snacks

Descending Sorted Transactions by Date - June 2024
----------------------------------------
2024-06-28 | Expense | Dining Out | $124.13 | Coffee at local cafe
2024-06-28 | Expense | Transport | $341.69 | Bike rental fee
2024-06-28 | Expense | Entertainment | $110.58 | Monthly Netflix subscription
2024-06-27 | Expense | Transport | $496.58 | Monthly metro pass
2024-06-27 | Income | Gifts & Donations | $1042.17 | Charity donation from anonymous donor
2024-06-26 | Expense | Transport | $223.38 | Uber ride to airport
2024-06-26 | Expense | Transport | $151.33 | Oil change at auto center
2024-06-26 | Expense | Rent & Utilities | $1763.78 | TV cable subscription
2024-06-26 | Expense | Groceries | $116.06 | Milk and bread from local store
2024-06-26 | Expense | Entertainment | $305.00 | Karaoke night with friends
2024-06-25 | Expense | Transport | $395.19 | Car maintenance and service
2024-06-25 | Expense | Rent & Utilities | $1281.49 | Heating system maintenance
2024-06-25 | Expense | Dining Out | $148.95 | Late night snacks at diner
2024-06-24 | Income | Gifts & Donations | $1076.20 | Wedding gift received
2024-06-24 | Expense | Dining Out | $61.67 | Desserts at pastry shop
2024-06-23 | Expense | Groceries | $127.26 | Milk and bread from local store
2024-06-23 | Expense | Rent & Utilities | $1713.18 | Electricity bill for January
2024-06-22 | Income | Business Profits | $1136.69 | Subscription service income
2024-06-22 | Expense | Transport | $312.15 | Tire replacement
2024-06-21 | Expense | Rent & Utilities | $1634.24 | Internet subscription fee
2024-06-21 | Expense | Transport | $89.76 | Bus ticket for daily commute
2024-06-21 | Expense | Entertainment | $380.05 | Subscription to online magazine
2024-06-21 | Expense | Rent & Utilities | $724.45 | Sewage services charge
2024-06-20 | Expense | Rent & Utilities | $802.42 | Monthly rent payment for apartment
2024-06-20 | Expense | Rent & Utilities | $447.37 | Electricity bill for January
2024-06-20 | Expense | Entertainment | $70.40 | Music streaming subscription
2024-06-19 | Expense | Groceries | $80.14 | Snacks and beverages
2024-06-19 | Expense | Transport | $150.95 | Bike rental fee
2024-06-18 | Expense | Dining Out | $25.31 | Brunch with friends at bistro
2024-06-18 | Expense | Dining Out | $108.23 | Food delivery from Uber Eats
2024-06-18 | Expense | Transport | $105.74 | Cab fare after night out
2024-06-18 | Income | Salary | $4735.41 | Commission on sales received
2024-06-18 | Expense | Rent & Utilities | $784.37 | Sewage services charge
2024-06-17 | Expense | Entertainment | $293.78 | Theater play ticket
2024-06-17 | Expense | Rent & Utilities | $675.75 | Trash collection service
2024-06-16 | Expense | Rent & Utilities | $874.18 | TV cable subscription
2024-06-16 | Expense | Entertainment | $401.00 | Bookstore purchase of novels
2024-06-16 | Expense | Entertainment | $359.42 | Board game purchase
2024-06-15 | Expense | Entertainment | $183.93 | Monthly Netflix subscription
2024-06-15 | Income | Salary | $5153.50 | Performance bonus payout
2024-06-15 | Expense | Rent & Utilities | $1142.03 | Property maintenance fee
2024-06-15 | Expense | Rent & Utilities | $1918.13 | Home insurance premium
2024-06-15 | Expense | Entertainment | $47.58 | Cinema tickets for latest movie
2024-06-14 | Expense | Rent & Utilities | $301.85 | Home insurance premium
2024-06-14 | Expense | Rent & Utilities | $524.25 | Landline phone bill
2024-06-14 | Expense | Rent & Utilities | $1801.27 | Home insurance premium
2024-06-14 | Expense | Transport | $122.67 | Motorbike fuel refill
2024-06-13 | Expense | Rent & Utilities | $1473.74 | Water bill settlement
2024-06-13 | Expense | Dining Out | $131.75 | Street food snacks
2024-06-13 | Expense | Dining Out | $37.97 | Business lunch with client
2024-06-13 | Income | Investments | $568.63 | Interest from savings account
2024-06-12 | Expense | Entertainment | $453.34 | Concert ticket for live band
2024-06-12 | Income | Investments | $513.61 | Stock profit realized on sale
2024-06-12 | Expense | Rent & Utilities | $557.34 | Mobile phone postpaid bill
2024-06-11 | Expense | Transport | $327.64 | Uber ride to airport
2024-06-11 | Expense | Rent & Utilities | $1740.18 | Electricity bill for January
2024-06-11 | Income | Gifts & Donations | $1046.73 | Cashback reward from online store
2024-06-10 | Expense | Dining Out | $48.36 | Ice cream from parlor
2024-06-10 | Income | Salary | $2682.67 | Salary credited for June
2024-06-10 | Expense | Transport | $155.01 | Bike rental fee
2024-06-10 | Income | Investments | $1040.95 | Bond maturity payout
2024-06-10 | Expense | Dining Out | $38.12 | Pizza night with family
2024-06-09 | Expense | Entertainment | $483.47 | Music streaming subscription
2024-06-08 | Expense | Rent & Utilities | $616.86 | Landline phone bill
2024-06-07 | Income | Salary | $5235.32 | Performance bonus payout
2024-06-06 | Expense | Rent & Utilities | $791.87 | Natural gas bill payment
2024-06-06 | Expense | Entertainment | $460.79 | Concert ticket for live band
2024-06-06 | Expense | Transport | $221.79 | Car maintenance and service
2024-06-06 | Expense | Entertainment | $477.21 | Board game purchase
2024-06-06 | Income | Business Profits | $508.03 | Dropshipping profits
2024-06-05 | Expense | Dining Out | $56.51 | Romantic dinner at steakhouse
2024-06-05 | Expense | Entertainment | $287.37 | Art museum entry ticket
2024-06-05 | Expense | Transport | $215.90 | Car maintenance and service
2024-06-05 | Expense | Entertainment | $181.71 | Art museum entry ticket
2024-06-05 | Expense | Entertainment | $201.26 | Theater play ticket
2024-06-04 | Expense | Rent & Utilities | $533.12 | Heating system maintenance
2024-06-04 | Expense | Transport | $278.41 | Parking fee at mall
2024-06-04 | Expense | Transport | $196.05 | Monthly metro pass
2024-06-04 | Income | Gifts & Donations | $587.66 | Anniversary gift from parents
2024-06-03 | Expense | Groceries | $202.01 | Frozen foods
2024-06-03 | Expense | Transport | $344.79 | Taxi ride to office
2024-06-03 | Expense | Rent & Utilities | $458.26 | Property maintenance fee
2024-06-02 | Expense | Transport | $354.23 | Uber ride to airport
2024-06-01 | Expense | Rent & Utilities | $1050.19 | Monthly rent payment for apartment
2024-06-01 | Income | Gifts & Donations | $522.31 | Loyalty program bonus
2024-06-01 | Expense | Rent & Utilities | $1979.86 | Mobile phone postpaid bill

Ascending Sorted Transactions by Amount - April 2024
----------------------------------------
2024-04-12 | Income | Investments | $497.67 | Stock profit realized on sale
2024-04-26 | Income | Investments | $611.85 | Interest from savings account
2024-04-11 | Income | Investments | $796.53 | ETF dividend credited
2024-04-16 | Income | Investments | $998.67 | Cryptocurrency profit withdrawal
2024-04-28 | Income | Gifts & Donations | $1088.09 | Loyalty program bonus
2024-04-24 | Income | Freelance | $1177.18 | Consultancy charges for project
2024-04-14 | Income | Gifts & Donations | $1221.76 | Charity donation from anonymous donor
2024-04-11 | Income | Freelance | $1472.88 | Social media marketing project fee
2024-04-11 | Income | Investments | $1484.77 | ETF dividend credited
2024-04-13 | Income | Salary | $2190.47 | Shift allowance payment
2024-04-20 | Income | Freelance | $2456.06 | Freelance project payment from client
2024-04-20 | Income | Salary | $5691.16 | Quarterly incentive added

Transactions Found by the Keyword: Taxi
----------------------------------------
2024-03-09 | Expense | Transport | $179.81 | Taxi ride to office
2024-03-22 | Expense | Transport | $338.56 | Taxi ride to office
2024-04-07 | Expense | Transport | $34.52 | Taxi ride to office
2024-04-24 | Expense | Transport | $36.94 | Taxi ride to office
