2024-02-01 | Income | Freelance | 344.84 | Content writing fee transferred
2024-02-01 | Expense | Transport | 251.46 | Parking fee at mall
2024-02-01 | Expense | Rent & Utilities | 1002.52 | Internet subscription fee
2024-02-01 | Expense | Entertainment | 332.57 | Concert ticket for live band
2024-02-02 | Expense | Rent & Utilities | 1877.04 | Home insurance premium
2024-02-02 | Expense | Entertainment | 458.01 | Theater play ticket
2024-02-02 | Expense | Groceries | 120.37 | Spices and condiments
2024-02-03 | Expense | Groceries | 149.28 | Supermarket shopping
2024-02-03 | Income | Salary | 4940.0 | Performance bonus payout
2024-02-03 | Expense | Dining Out | 57.4 | Breakfast at bakery
2024-02-04 | Expense | Dining Out | 90.61 | Street food snacks
2024-02-04 | Expense | Transport | 346.87 | Bike rental fee
2024-02-04 | Income | Investments | 157.5 | ETF dividend credited
2024-02-05 | Expense | Entertainment | 345.67 | Concert ticket for live band
2024-02-06 | Expense | Rent & Utilities | 1857.32 | Water bill settlement
2024-02-06 | Expense | Rent & Utilities | 950.33 | Landline phone bill
2024-02-07 | Expense | Entertainment | 366.42 | Subscription to online magazine
2024-02-08 | Expense | Dining Out | 101.25 | Food delivery from Uber Eats
2024-02-08 | Expense | Rent & Utilities | 1258.75 | Internet subscription fee
2024-02-08 | Expense | Rent & Utilities | 1435.92 | Trash collection service
2024-02-08 | Expense | Transport | 358.39 | Monthly metro pass
2024-02-08 | Expense | Groceries | 20.75 | Frozen foods
2024-02-08 | Income | Business Profits | 746.03 | Consulting service payment for project
2024-02-08 | Expense | Entertainment | 62.74 | Art museum entry ticket
2024-02-08 | Expense | Rent & Utilities | 694.72 | Landline phone bill
2024-02-08 | Expense | Transport | 158.5 | Motorbike fuel refill
2024-02-09 | Expense | Groceries | 111.52 | Baby food and supplies
2024-02-09 | Expense | Dining Out | 45.32 | Fast food lunch at McDonald's
2024-02-09 | Expense | Groceries | 101.8 | Purchased cleaning supplies
2024-02-09 | Expense | Rent & Utilities | 1828.14 | Home insurance premium
2024-02-10 | Expense | Entertainment | 348.38 | Video game download
2024-02-10 | Expense | Dining Out | 65.41 | Dinner at Italian restaurant
2024-02-11 | Income | Gifts & Donations | 221.33 | Cashback reward from online store
2024-02-11 | Expense | Entertainment | 336.35 | Theater play ticket
2024-02-11 | Expense | Dining Out | 131.09 | Late night snacks at diner
2024-02-11 | Income | Investments | 1248.77 | Cryptocurrency profit withdrawal
2024-02-12 | Expense | Transport | 136.93 | Fuel refill at gas station
2024-02-12 | Expense | Transport | 65.73 | Monthly metro pass
2024-02-13 | Expense | Dining Out | 138.74 | Romantic dinner at steakhouse
2024-02-13 | Income | Freelance | 1602.62 | App development project income
2024-02-13 | Expense | Transport | 297.05 | Car maintenance and service
2024-02-13 | Income | Gifts & Donations | 1012.83 | Charity donation from anonymous donor
2024-02-13 | Expense | Dining Out | 129.33 | Late night snacks at diner
2024-02-14 | Expense | Entertainment | 339.4 | Subscription to online magazine
2024-02-14 | Expense | Groceries | 201.31 | Bought vegetables and fruits
2024-02-14 | Expense | Rent & Utilities | 1474.04 | Landline phone bill
2024-02-14 | Expense | Groceries | 61.72 | Snacks and beverages
