2024-10-01 | Expense | Rent & Utilities | 1282.58 | Electricity bill for January
2024-10-01 | Expense | Rent & Utilities | 1101.84 | TV cable subscription
2024-10-01 | Expense | Entertainment | 498.07 | Monthly Netflix subscription
2024-10-01 | Expense | Dining Out | 13.1 | Fast food lunch at McDonald's
2024-10-02 | Expense | Rent & Utilities | 981.1 | Landline phone bill
2024-10-02 | Expense | Rent & Utilities | 1917.79 | Monthly rent payment for apartment
2024-10-03 | Expense | Rent & Utilities | 994.7 | Internet subscription fee
2024-10-03 | Expense | Rent & Utilities | 881.39 | Property maintenance fee
2024-10-03 | Expense | Transport | 180.83 | Train ticket to nearby city
2024-10-04 | Expense | Transport | 386.44 | Cab fare after night out
2024-10-04 | Expense | Transport | 354.17 | Monthly metro pass
2024-10-04 | Expense | Transport | 179.14 | Oil change at auto center
2024-10-04 | Expense | Groceries | 247.87 | Pet food and supplies
2024-10-04 | Expense | Dining Out | 76.25 | Dinner at Italian restaurant
2024-10-05 | Expense | Groceries | 41.98 | Pet food and supplies
2024-10-05 | Expense | Groceries | 138.03 | Purchased cleaning supplies
2024-10-05 | Expense | Groceries | 29.84 | Dairy products and eggs
2024-10-06 | Expense | Entertainment | 138.08 | Video game download
2024-10-06 | Expense | Groceries | 223.78 | Snacks and beverages
2024-10-07 | Expense | Rent & Utilities | 1721.77 | Trash collection service
2024-10-07 | Expense | Groceries | 101.09 | Frozen foods
2024-10-08 | Income | Freelance | 1991.08 | Consultancy charges for project
2024-10-08 | Expense | Dining Out | 22.16 | Sushi dinner at Japanese restaurant
2024-10-08 | Expense | Dining Out | 58.03 | Coffee at local cafe
2024-10-09 | Expense | Transport | 192.34 | Train ticket to nearby city
2024-10-09 | Expense | Rent & Utilities | 1881.43 | Internet subscription fee
2024-10-09 | Expense | Groceries | 280.85 | Baby food and supplies
2024-10-09 | Expense | Rent & Utilities | 1674.97 | Mobile phone postpaid bill
2024-10-09 | Expense | Groceries | 151.64 | Bulk purchase of rice and pasta
2024-10-10 | Expense | Entertainment | 297.72 | Music streaming subscription
2024-10-10 | Expense | Entertainment | 251.43 | Dance class fee
2024-10-10 | Expense | Rent & Utilities | 1053.37 | Water bill settlement
2024-10-10 | Expense | Transport | 162.23 | Taxi ride to office
2024-10-10 | Expense | Transport | 157.07 | Uber ride to airport
2024-10-10 | Expense | Rent & Utilities | 1536.08 | Internet subscription fee
2024-10-11 | Expense | Groceries | 79.01 | Milk and bread from local store
2024-10-11 | Expense | Rent & Utilities | 618.16 | Natural gas bill payment
2024-10-11 | Expense | Transport | 156.31 | Train ticket to nearby city
2024-10-12 | Expense | Transport | 492.9 | Tire replacement
2024-10-12 | Expense | Rent & Utilities | 738.12 | Monthly rent payment for apartment
2024-10-13 | Expense | Entertainment | 41.26 | Subscription to online magazine
2024-10-13 | Expense | Groceries | 31.76 | Pet food and supplies
2024-10-14 | Expense | Groceries | 202.44 | Snacks and beverages
2024-10-14 | Expense | Transport | 194.86 | Tire replacement
2024-10-14 | Expense | Entertainment | 258.7 | Theater play ticket
