2024-09-01 | Expense | Dining Out | 122.92 | Romantic dinner at steakhouse
2024-09-02 | Expense | Transport | 378.84 | Monthly metro pass
2024-09-02 | Expense | Transport | 459.23 | Fuel refill at gas station
2024-09-02 | Expense | Rent & Utilities | 844.53 | Electricity bill for January
2024-09-03 | Expense | Entertainment | 354.93 | Monthly Netflix subscription
2024-09-04 | Expense | Dining Out | 85.32 | Dinner at Italian restaurant
2024-09-04 | Expense | Entertainment | 476.5 | Music streaming subscription
2024-09-05 | Expense | Dining Out | 145.15 | Late night snacks at diner
2024-09-05 | Expense | Transport | 153.29 | Fuel refill at gas station
2024-09-05 | Expense | Entertainment | 207.44 | Amusement park entry fee
2024-09-05 | Expense | Groceries | 180.24 | Supermarket shopping
2024-09-05 | Expense | Transport | 431.9 | Oil change at auto center
2024-09-06 | Expense | Dining Out | 37.21 | Coffee at local cafe
2024-09-06 | Expense | Groceries | 288.31 | Bought vegetables and fruits
2024-09-07 | Expense | Groceries | 247.93 | Milk and bread from local store
2024-09-07 | Expense | Rent & Utilities | 1779.2 | Internet subscription fee
2024-09-07 | Expense | Rent & Utilities | 1171.34 | Water bill settlement
2024-09-07 | Expense | Dining Out | 131.42 | Coffee at local cafe
2024-09-08 | Income | Gifts & Donations | 1212.46 | Charity donation from anonymous donor
2024-09-09 | Expense | Entertainment | 138.68 | Music streaming subscription
2024-09-09 | Expense | Rent & Utilities | 1536.62 | Monthly rent payment for apartment
2024-09-10 | Expense | Groceries | 37.37 | Household necessities from hypermarket
2024-09-10 | Expense | Dining Out | 20.43 | Coffee at local cafe
2024-09-10 | Expense | Entertainment | 188.67 | Subscription to online magazine
2024-09-10 | Expense | Rent & Utilities | 1201.85 | Property maintenance fee
2024-09-10 | Expense | Groceries | 178.72 | Cereal and breakfast items
2024-09-10 | Expense | Groceries | 200.75 | Weekly groceries restock
2024-09-12 | Expense | Entertainment | 472.2 | Dance class fee
2024-09-12 | Expense | Transport | 175.96 | Parking fee at mall
2024-09-12 | Income | Salary | 5041.01 | End of year bonus received
2024-09-12 | Expense | Rent & Utilities | 693.97 | Natural gas bill payment
2024-09-12 | Expense | Rent & Utilities | 1180.4 | Heating system maintenance
2024-09-12 | Expense | Dining Out | 133.42 | Dinner at Italian restaurant
2024-09-12 | Income | Freelance | 2043.85 | Freelance project payment from client
2024-09-13 | Expense | Rent & Utilities | 1658.0 | Natural gas bill payment
2024-09-13 | Expense | Rent & Utilities | 342.0 | Property maintenance fee
